Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D5.0mm,1,PWR,
"D102, D104, D105, D106, D110, D2, D202, D210, D3, D301, D401, D412, D501, D501A1, D512",D_DO-35_SOD27_P7.62mm_Horizontal,15,1N4148,
JKBD1,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_KBD,
JSPKR1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_SPKR,
K101,SW_Cherry_MX_2.25u_PCB,1,CS,
K102,SW_Cherry_MX_1.00u_PCB,1,DOWN,
K103,SW_Cherry_MX_6.25u_PCB,1,SPACE,
K104,SW_Cherry_MX_1.00u_PCB,1,PUNCT & VIRGULA,
K105,SW_Cherry_MX_1.00u_PCB,1,LEFT,
K106,SW_Cherry_MX_1.00u_PCB,1,RIGHT,
K110,SW_Cherry_MX_1.00u_PCB,1,PUNCT,
K201,SW_Cherry_MX_1.75u_PCB,1,SS,
K202,SW_Cherry_MX_1.00u_PCB,1,UP,
K203,SW_Cherry_MX_1.00u_PCB,1,Z,
K204,SW_Cherry_MX_1.00u_PCB,1,X,
K205,SW_Cherry_MX_1.00u_PCB,1,C,
K206,SW_Cherry_MX_1.00u_PCB,1,V,
K207,SW_Cherry_MX_1.00u_PCB,1,B,
K208,SW_Cherry_MX_1.00u_PCB,1,N,
K209,SW_Cherry_MX_1.00u_PCB,1,M,
K210,SW_Cherry_MX_1.00u_PCB,1,VIRGULA,
K301,SW_Cherry_MX_1.50u_PCB,1,CS LK,
K302,SW_Cherry_MX_1.00u_PCB,1,A,
K303,SW_Cherry_MX_1.00u_PCB,1,S,
K304,SW_Cherry_MX_1.00u_PCB,1,D,
K305,SW_Cherry_MX_1.00u_PCB,1,F,
K306,SW_Cherry_MX_1.00u_PCB,1,G,
K307,SW_Cherry_MX_1.00u_PCB,1,H,
K308,SW_Cherry_MX_1.00u_PCB,1,J,
K309,SW_Cherry_MX_1.00u_PCB,1,K,
K310,SW_Cherry_MX_1.00u_PCB,1,L,
K311,SW_Cherry_MX_1.75u_PCB,1,ENTER,
K401,SW_Cherry_MX_1.25u_PCB,1,EDIT,
K402,SW_Cherry_MX_1.00u_PCB,1,Q,
K403,SW_Cherry_MX_1.00u_PCB,1,W,
K404,SW_Cherry_MX_1.00u_PCB,1,E,
K405,SW_Cherry_MX_1.00u_PCB,1,R,
K406,SW_Cherry_MX_1.00u_PCB,1,T,
K407,SW_Cherry_MX_1.00u_PCB,1,Y,
K408,SW_Cherry_MX_1.00u_PCB,1,U,
K409,SW_Cherry_MX_1.00u_PCB,1,I,
K410,SW_Cherry_MX_1.00u_PCB,1,O,
K411,SW_Cherry_MX_1.00u_PCB,1,P,
K412,SW_Cherry_MX_1.25u_PCB,1,GHILIMELE,
K501,SW_Cherry_MX_1.00u_PCB,1,EXTEND MODE,
K502,SW_Cherry_MX_1.00u_PCB,1,1,
K503,SW_Cherry_MX_1.00u_PCB,1,2,
K504,SW_Cherry_MX_1.00u_PCB,1,3,
K505,SW_Cherry_MX_1.00u_PCB,1,4,
K506,SW_Cherry_MX_1.00u_PCB,1,5,
K507,SW_Cherry_MX_1.00u_PCB,1,6,
K508,SW_Cherry_MX_1.00u_PCB,1,7,
K509,SW_Cherry_MX_1.00u_PCB,1,8,
K510,SW_Cherry_MX_1.00u_PCB,1,9,
K511,SW_Cherry_MX_1.00u_PCB,1,0,
K512,SW_Cherry_MX_1.25u_PCB,1,DEL,
"Q0, Q1, Q2, Q5, Q6, Q7, Q8, QCS1, QM1, QN1, QO1, QP1, QSS1",TO-92_Wide,13,BC337,
RLED1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,
RPU1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.5K,
